number,kind,state,title,url,created_at,updated_at,closed_at,user,labels,comments,matched_queries
5323,issue,closed,flaky: coderd/prometheusmetrics TestWorkspaces/Multiple,https://github.com/coder/coder/issues/5323,2022-12-06T15:20:56Z,2022-12-07T16:50:18Z,2022-12-07T16:50:18Z,mtojek,,0,issues-flaky-title
5328,issue,closed,flaky: templateversions unexpected status code 404: No previous template version,https://github.com/coder/coder/issues/5328,2022-12-06T18:58:27Z,2022-12-07T13:19:20Z,2022-12-07T13:19:20Z,mtojek,,0,issues-flaky-title
5343,issue,closed,flaky: TestWorkspaceAppsNonCanonicalHeaders ,https://github.com/coder/coder/issues/5343,2022-12-08T07:41:40Z,2022-12-08T09:24:53Z,2022-12-08T09:24:53Z,mtojek,,0,issues-flaky-title
5345,issue,closed,flaky: TestProvisionerd/TemplateDryRun,https://github.com/coder/coder/issues/5345,2022-12-08T08:48:43Z,2023-02-13T16:27:26Z,2023-02-13T16:27:26Z,mtojek,,1,issues-flaky-title
6197,issue,closed,chore: test flake: TestTemplateVersionDryRun/OK,https://github.com/coder/coder/issues/6197,2023-02-14T13:21:16Z,2023-05-23T00:10:20Z,2023-05-23T00:10:20Z,johnstcn,stale,1,issues-flake-title
6321,issue,closed,test flake: TestSpeedtest,https://github.com/coder/coder/issues/6321,2023-02-23T15:14:23Z,2024-04-04T18:32:22Z,2024-04-04T18:32:22Z,johnstcn,,3,issues-flake-title
6481,issue,closed,flake: coderd_test.TestTemplateMetrics,https://github.com/coder/coder/issues/6481,2023-03-07T15:21:07Z,2023-06-13T00:10:59Z,2023-06-13T00:10:59Z,deansheather,stale,1,issues-flake-title
6505,issue,closed,test flake: data race in codersdk.Client.DeploymentValues(),https://github.com/coder/coder/issues/6505,2023-03-08T12:03:55Z,2023-06-09T23:21:25Z,2023-06-09T23:21:23Z,johnstcn,s2,1,issues-flake-title
6506,issue,closed,test flake: failed to query providers from Terraform in unit test,https://github.com/coder/coder/issues/6506,2023-03-08T12:24:18Z,2024-04-04T18:31:54Z,2024-04-04T18:31:54Z,johnstcn,s4,5,issues-flake-title
6961,issue,closed,`TestWorkspaceAgent_Metadata` test flake,https://github.com/coder/coder/issues/6961,2023-04-03T04:28:20Z,2023-04-03T04:45:25Z,2023-04-03T04:45:25Z,coadler,,0,issues-flake-title
7302,issue,closed,test flake: data race in TestTunnel,https://github.com/coder/coder/issues/7302,2023-04-27T04:58:22Z,2023-09-21T18:33:16Z,2023-09-21T18:33:14Z,spikecurtis,s4,1,issues-flake-title
7578,issue,closed,flake: TestWorkspaceProxyCRUD/CreateAndUpdate,https://github.com/coder/coder/issues/7578,2023-05-17T01:06:38Z,2023-09-11T15:39:36Z,2023-09-11T15:39:34Z,sreya,s4,1,issues-flake-title
7642,issue,closed,flake: cli TestScaleTestWorkspaceTraffic,https://github.com/coder/coder/issues/7642,2023-05-23T05:19:17Z,2024-03-09T00:04:08Z,2024-03-09T00:04:08Z,spikecurtis,stale;s4,0,issues-flake-title
7643,issue,closed,flake: TestPortForward_None hangs,https://github.com/coder/coder/issues/7643,2023-05-23T05:21:38Z,2023-09-21T21:07:11Z,2023-09-21T21:07:09Z,spikecurtis,s4,1,issues-flake-title
7752,issue,closed,TestPubsub_Disconnect flake on port binding,https://github.com/coder/coder/issues/7752,2023-06-01T04:54:52Z,2024-08-23T13:12:32Z,2023-06-05T05:24:46Z,spikecurtis,s3,1,issues-flake-title
7791,issue,closed,flake: leak in logFollower,https://github.com/coder/coder/issues/7791,2023-06-02T02:27:04Z,2023-06-02T16:25:47Z,2023-06-02T16:25:47Z,datadog-coder-official[bot],,0,issues-flake-title
7834,issue,closed,add coder package derivation to nix flake,https://github.com/coder/coder/issues/7834,2023-06-04T11:41:03Z,2024-01-17T00:04:40Z,2024-01-17T00:04:40Z,TECHNOFAB11,stale;use-case,1,issues-flake-title
7913,issue,closed,Flake in devtunnel tests,https://github.com/coder/coder/issues/7913,2023-06-08T04:52:15Z,2023-09-21T18:34:11Z,2023-09-21T18:34:08Z,ammario,s4,3,issues-flake-title
7946,issue,closed,test flake: enterprise/coderd TestReplicas,https://github.com/coder/coder/issues/7946,2023-06-09T21:17:23Z,2023-07-07T14:48:41Z,2023-07-07T14:48:39Z,johnstcn,s3,1,issues-flake-title
7948,issue,closed,Flake in test-js,https://github.com/coder/coder/issues/7948,2023-06-09T21:59:55Z,2023-09-29T12:56:42Z,2023-09-29T12:56:39Z,ammario,s4,4,issues-flake-title
8161,issue,closed,flake: TestPGCoordinatorDual_Mainline,https://github.com/coder/coder/issues/8161,2023-06-22T17:15:43Z,2023-06-23T10:39:00Z,2023-06-23T10:39:00Z,spikecurtis,,0,issues-flake-title
8370,issue,closed,Test flake: TestPGCoordinatorSingle_MissedHeartbeats,https://github.com/coder/coder/issues/8370,2023-07-07T13:20:05Z,2023-09-27T07:51:02Z,2023-09-27T07:51:00Z,johnstcn,s4;networking,2,issues-flake-title
8968,issue,closed,test flake: coderd TestWorkspaceWatcher,https://github.com/coder/coder/issues/8968,2023-08-08T12:58:06Z,2023-08-09T12:09:27Z,2023-08-09T12:09:27Z,spikecurtis,,0,issues-flake-title
9018,issue,closed,test flake: TestAgent_UpdatedDERP,https://github.com/coder/coder/issues/9018,2023-08-10T09:26:09Z,2023-08-15T06:54:08Z,2023-08-15T06:54:08Z,spikecurtis,,6,issues-flake-title
9105,issue,closed,test flake: TestAgentStats,https://github.com/coder/coder/issues/9105,2023-08-15T10:11:06Z,2023-08-31T10:41:32Z,2023-08-31T10:40:59Z,johnstcn,s4,2,issues-flake-title
9107,issue,closed,test flake: TestDERPHeaders,https://github.com/coder/coder/issues/9107,2023-08-15T10:22:29Z,2023-08-23T11:03:41Z,2023-08-23T11:03:41Z,spikecurtis,,0,issues-flake-title
9168,issue,closed,test flake: TestScaleTestDashboard fails intermittently,https://github.com/coder/coder/issues/9168,2023-08-18T09:20:26Z,2023-09-18T15:39:32Z,2023-09-18T15:39:30Z,johnstcn,s4,0,issues-flake-title
9315,issue,closed,flake: TestDERPHeaders,https://github.com/coder/coder/issues/9315,2023-08-24T18:52:47Z,2023-09-20T11:47:14Z,2023-09-20T11:47:11Z,sreya,s4,2,issues-flake-title
9324,issue,closed,e2e flake: createTemplate,https://github.com/coder/coder/issues/9324,2023-08-25T05:27:24Z,2023-09-01T13:14:27Z,2023-09-01T13:14:24Z,spikecurtis,s4,6,issues-flake-title
9331,issue,closed,test flake: TestPatchCancelWorkspaceBuild,https://github.com/coder/coder/issues/9331,2023-08-25T09:31:01Z,2023-08-29T04:41:36Z,2023-08-29T04:41:34Z,johnstcn,s4,2,issues-flake-title
9340,issue,closed,test flake: Fail in goroutine after TestProvisionerd/InstantClose has completed,https://github.com/coder/coder/issues/9340,2023-08-25T16:00:34Z,2023-09-18T16:23:26Z,2023-09-18T16:23:24Z,johnstcn,s4,0,issues-flake-title
9341,issue,closed,test flake: agent/reaper TestReap: no child processes,https://github.com/coder/coder/issues/9341,2023-08-25T16:29:32Z,2023-09-13T20:44:18Z,2023-09-13T20:44:15Z,johnstcn,s4,1,issues-flake-title
9345,issue,closed,test flake: many e2e test failures,https://github.com/coder/coder/issues/9345,2023-08-25T19:41:31Z,2023-08-30T10:09:51Z,2023-08-30T09:35:52Z,Emyrk,s4,7,issues-flake-title
9379,issue,closed,flake: TempDir RemoveAll cleanup fails to remove temporary directories in tests occassionally,https://github.com/coder/coder/issues/9379,2023-08-28T09:48:27Z,2023-09-14T13:57:49Z,2023-09-14T13:57:46Z,matifali,s4,3,issues-flake-title
9400,issue,closed,test flake TestWorkspace/Rename,https://github.com/coder/coder/issues/9400,2023-08-29T11:17:05Z,2023-08-29T11:42:43Z,2023-08-29T11:42:43Z,spikecurtis,,0,issues-flake-title
9418,issue,closed,test flake: enterprise/tailnet TestPGCoordinator_MultiAgent,https://github.com/coder/coder/issues/9418,2023-08-30T08:16:50Z,2023-08-30T10:44:03Z,2023-08-30T10:44:01Z,johnstcn,s4,1,issues-flake-title
9419,issue,closed,test flake: coderd TestPostWorkspaceBuild/NoTemplateVersion,https://github.com/coder/coder/issues/9419,2023-08-30T08:48:02Z,2024-03-09T00:04:11Z,2024-03-09T00:04:11Z,matifali,stale;s4,0,issues-flake-title
9420,issue,closed,test flake: scaletest/createworkspaces Test_Runner/CleanupPendingBuild,https://github.com/coder/coder/issues/9420,2023-08-30T08:53:12Z,2023-09-19T10:35:25Z,2023-09-19T09:26:12Z,matifali,s4,2,issues-flake-title
9422,issue,closed,test flake: enterprise/wsproxy TestWorkspaceProxyWorkspaceApps_Wsconncache/ReconnectingPTY,https://github.com/coder/coder/issues/9422,2023-08-30T09:24:12Z,2023-09-19T21:26:51Z,2023-09-19T21:26:49Z,matifali,s4,1,issues-flake-title
9424,issue,closed,test flake: test-e2e tests/createWorkspace.spec.ts:105:5 › create workspace and overwrite default parameters ,https://github.com/coder/coder/issues/9424,2023-08-30T09:45:04Z,2023-08-31T11:02:30Z,2023-08-31T10:59:08Z,matifali,s4,1,issues-flake-title
9425,issue,closed,"test flake: test-e2e tests/updateWorkspace.spec.ts:65:5 › update workspace, new required, mutable parameter added",https://github.com/coder/coder/issues/9425,2023-08-30T09:46:17Z,2023-08-31T11:02:24Z,2023-08-31T10:59:18Z,matifali,s4,1,issues-flake-title
9426,issue,closed,test flake: test-e2e webServer is not accessible,https://github.com/coder/coder/issues/9426,2023-08-30T09:47:20Z,2023-09-01T13:21:29Z,2023-09-01T13:21:27Z,matifali,s4,4,issues-flake-title
9432,issue,closed,flake: TestDERPEndToEnd,https://github.com/coder/coder/issues/9432,2023-08-30T10:44:23Z,2024-03-09T00:04:12Z,2024-03-09T00:04:12Z,spikecurtis,stale;s4,0,issues-flake-title
9546,issue,closed,test flake: TestPatchTemplateMeta/Modified,https://github.com/coder/coder/issues/9546,2023-09-06T10:57:41Z,2023-09-13T09:34:56Z,2023-09-13T09:34:54Z,johnstcn,s4,0,issues-flake-title
9661,issue,closed,test flake: scaletest/workspacetraffic TestRun/PTY,https://github.com/coder/coder/issues/9661,2023-09-13T12:36:47Z,2023-09-13T14:55:39Z,2023-09-13T14:54:57Z,spikecurtis,s4,2,issues-flake-title
9665,issue,closed,test flake: TestWorkspaceFilterManual,https://github.com/coder/coder/issues/9665,2023-09-13T14:25:30Z,2023-09-27T15:08:38Z,2023-09-27T15:08:36Z,johnstcn,s4,1,issues-flake-title
9695,issue,closed,test flake: TestUpdateValidateRichParameters/ValidateBool (windows),https://github.com/coder/coder/issues/9695,2023-09-15T11:05:34Z,2023-11-16T09:31:31Z,2023-11-16T09:31:28Z,johnstcn,s4,1,issues-flake-title
9719,issue,closed,test flake: codersdk/agentsdk TestStartupLogsSender/context_canceled_during_flush ,https://github.com/coder/coder/issues/9719,2023-09-18T09:01:04Z,2023-10-11T12:42:34Z,2023-10-11T12:42:32Z,johnstcn,s4,1,issues-flake-title
9721,issue,closed,test flake: TestWorkspaceAgentStartupLogs/Close_logs_on_outdated_build,https://github.com/coder/coder/issues/9721,2023-09-18T10:54:46Z,2023-09-19T17:02:31Z,2023-09-19T17:02:28Z,spikecurtis,s4,0,issues-flake-title
9744,issue,closed,test flake: TestWorkspaceAgentTailnetDirectDisabled,https://github.com/coder/coder/issues/9744,2023-09-18T11:35:01Z,2023-09-20T11:43:43Z,2023-09-20T11:43:42Z,spikecurtis,,1,issues-flake-title
9745,issue,closed,test flake: TestTunnel/V2,https://github.com/coder/coder/issues/9745,2023-09-18T11:40:54Z,2023-09-19T18:54:59Z,2023-09-19T18:54:58Z,spikecurtis,s4,0,issues-flake-title
9747,issue,closed,test flake: TestDERPHeaders,https://github.com/coder/coder/issues/9747,2023-09-18T12:03:09Z,2023-09-25T06:49:34Z,2023-09-25T06:49:32Z,spikecurtis,s4,6,issues-flake-title
9748,issue,closed,test flake: TestUpdateValidateRichParameters/ParameterOptionChanged,https://github.com/coder/coder/issues/9748,2023-09-18T12:29:09Z,2023-09-19T11:55:54Z,2023-09-19T11:55:52Z,spikecurtis,s4,2,issues-flake-title
9761,issue,closed,flake: TestTailnet/Connect,https://github.com/coder/coder/issues/9761,2023-09-18T20:12:49Z,2024-02-15T22:00:51Z,2024-02-15T22:00:48Z,sreya,s4,1,issues-flake-title
9762,issue,closed,flake: TerminalPage.test.tsx,https://github.com/coder/coder/issues/9762,2023-09-18T20:16:11Z,2023-11-06T13:08:54Z,2023-11-06T13:08:52Z,sreya,s4,2,issues-flake-title
9764,issue,closed,flake: TestWorkspaceProxyWorkspaceApps_Wsconncache/ReconnectingPTY/SignedTokenQueryParameter,https://github.com/coder/coder/issues/9764,2023-09-19T05:44:09Z,2024-03-28T07:15:56Z,2023-09-27T08:26:25Z,spikecurtis,,3,issues-flake-title
9772,issue,closed,test flake: TestTemplateInsights_Golden/multiple_users_and_workspaces,https://github.com/coder/coder/issues/9772,2023-09-19T11:55:55Z,2023-09-19T15:16:17Z,2023-09-19T15:16:08Z,spikecurtis,s4,2,issues-flake-title
9785,issue,closed,flake: TestPostWorkspacesByOrganization/Create,https://github.com/coder/coder/issues/9785,2023-09-19T21:09:18Z,2023-09-29T13:06:24Z,2023-09-29T13:06:22Z,sreya,s4,0,issues-flake-title
9793,issue,closed,flake: Tests for TemplateSchedulePage sometimes time out,https://github.com/coder/coder/issues/9793,2023-09-20T13:51:57Z,2024-04-04T18:42:53Z,2024-04-04T18:42:46Z,buenos-nachos,s4,5,issues-flake-title
9873,issue,closed,"test flake: Test_parseInsightsInterval_week: Query param ""end_time"" must have the clock set to 00:00:00",https://github.com/coder/coder/issues/9873,2023-09-26T09:16:28Z,2023-09-26T10:33:25Z,2023-09-26T10:33:23Z,johnstcn,s4,1,issues-flake-title
9895,issue,closed,test flake: TestProvisionerd/MaliciousTar,https://github.com/coder/coder/issues/9895,2023-09-27T16:37:26Z,2023-10-10T09:24:47Z,2023-10-10T09:24:45Z,johnstcn,s4,0,issues-flake-title
9921,issue,closed,test flake: TestPGCoordinatorDual_Mainline,https://github.com/coder/coder/issues/9921,2023-09-28T20:44:34Z,2023-10-11T05:22:23Z,2023-10-11T05:22:21Z,johnstcn,s4,0,issues-flake-title
9933,issue,closed,test flake: TestSSH/StdioExitOnStop,https://github.com/coder/coder/issues/9933,2023-09-29T15:10:37Z,2023-12-11T10:46:23Z,2023-12-11T10:46:20Z,johnstcn,s4,2,issues-flake-title
9956,issue,closed,e2e test flake in createWorkspace.spec.ts,https://github.com/coder/coder/issues/9956,2023-09-29T23:56:24Z,2024-04-15T01:08:25Z,2024-04-15T01:08:25Z,aslilac,stale;site;s4,1,issues-flake-title
10045,issue,closed,test flake: data race: coderd/devtunnel: TestTunnel ,https://github.com/coder/coder/issues/10045,2023-10-04T14:33:19Z,2023-10-05T04:47:03Z,2023-10-05T04:47:02Z,johnstcn,,0,issues-flake-title
10047,issue,closed,test flake: enterprise/coderd TestWorkspaceAutobuild/InactiveStoppedWorkspaceNoTransition,https://github.com/coder/coder/issues/10047,2023-10-04T14:35:17Z,2023-11-08T23:56:39Z,2023-11-08T23:56:38Z,johnstcn,s4,0,issues-flake-title
10081,issue,closed,flake: TestPortforward,https://github.com/coder/coder/issues/10081,2023-10-05T19:22:28Z,2023-11-27T06:00:55Z,2023-11-27T06:00:53Z,sreya,s4;networking,1,issues-flake-title
10105,issue,closed, flake: WorkspaceSchedulePage › autostop › uses template default ttl when first enabled,https://github.com/coder/coder/issues/10105,2023-10-06T12:14:14Z,2023-10-12T05:50:58Z,2023-10-12T05:50:56Z,spikecurtis,s4,2,issues-flake-title
10143,issue,closed,flake: TestAgent_Session_TTY_MOTD_Update,https://github.com/coder/coder/issues/10143,2023-10-09T18:05:32Z,2023-11-16T09:37:07Z,2023-11-16T09:37:05Z,spikecurtis,s4;networking,2,issues-flake-title
10167,issue,closed,flake: TestWorkspaceAgent/Timeout,https://github.com/coder/coder/issues/10167,2023-10-10T11:26:30Z,2023-10-10T11:45:48Z,2023-10-10T11:45:48Z,spikecurtis,,0,issues-flake-title
10202,issue,closed,test flake: scaletest/createworkspaces Test_Runner/OK,https://github.com/coder/coder/issues/10202,2023-10-11T05:33:55Z,2023-10-11T11:10:55Z,2023-10-11T11:10:53Z,spikecurtis,s4,0,issues-flake-title
10204,issue,closed,test flake: cli TestSSH/RemoteForward,https://github.com/coder/coder/issues/10204,2023-10-11T06:42:32Z,2023-10-11T12:17:10Z,2023-10-11T12:17:06Z,spikecurtis,s4,0,issues-flake-title
10205,issue,closed,test flake: enterprise/coderd TestRegions/WithProxies,https://github.com/coder/coder/issues/10205,2023-10-11T06:46:41Z,2023-11-16T12:21:19Z,2023-11-16T12:21:17Z,spikecurtis,s4,0,issues-flake-title
10219,issue,closed,test flake: TestServerDBCrypt,https://github.com/coder/coder/issues/10219,2023-10-11T14:55:40Z,2023-10-11T16:38:24Z,2023-10-11T16:38:22Z,datadog-coder-official[bot],s4,0,issues-flake-title
10240,issue,closed,test flake: scaletest/createworkspaces Test_Runner/CleanupPendingBuild,https://github.com/coder/coder/issues/10240,2023-10-12T15:46:24Z,2023-10-16T11:37:15Z,2023-10-16T11:37:13Z,johnstcn,s4,0,issues-flake-title
10257,issue,closed,test flake: TestWorkspace/Health/Mixed_health,https://github.com/coder/coder/issues/10257,2023-10-13T14:21:34Z,2023-10-16T12:50:11Z,2023-10-16T12:50:08Z,johnstcn,s4,0,issues-flake-title
