number,state,title,url,created_at,updated_at,closed_at,merged_at,user,labels,seed_title_match,discovered_from_issue_timeline,referenced_seed_issues_in_body,base_ref,head_ref,merged,changed_files,additions,deletions,files_downloaded,reviews_downloaded,review_comments_downloaded,issue_comments_downloaded,body_excerpt
2309,closed,fix: flaky install.sh upgrade on OSX (zsh killed),https://github.com/coder/coder/pull/2309,2022-06-13T23:24:13Z,2022-06-15T16:09:53Z,2022-06-15T16:09:52Z,2022-06-15T16:09:52Z,bpmct,,True,False,,main,bpmct/install-fixes,True,1,12,2,1,3,2,0,Fixes #2086. This likely has something to do with how MacOS trusts binaries ## To test @misskniss @mark-theshark - would appreciate if you could confirm this fixes it Broken: ```sh # see the current version coder --version # install a different version of Coder (n+1 or n-1) curl -L https://raw.githubusercontent.com/coder/coder/main/install.sh | sh -s -- --version=0.6.6 # run the binary coder version # [1] 48010 killed coder ``` Fixed: ```sh # see the current version coder --version # install a d
2343,closed,fix: coderd: fix flaky test,https://github.com/coder/coder/pull/2343,2022-06-15T14:07:51Z,2022-06-15T14:32:03Z,2022-06-15T14:32:03Z,2022-06-15T14:32:02Z,johnstcn,,True,False,,main,cj/test-workspace-extend-flake,True,1,2,2,1,1,0,0,"This fixes a flaky test on slower platforms. This is not the ideal solution -- we'd probably want the deadline extension request to also include the time of creation, so that the backend can calculate accordingly. For now I'm just making the test less borderline."
2406,closed,test: Increase timeouts to reduce flakes,https://github.com/coder/coder/pull/2406,2022-06-16T14:08:45Z,2022-06-16T14:52:46Z,2022-06-16T14:52:45Z,2022-06-16T14:52:45Z,kylecarbs,,True,False,,main,testtimes,True,3,4,4,3,1,0,0,It's difficult to understand what's timing out due to a lock vs. taking a long time. This should help resolve! 🕵️
2413,closed,"Fix socket leak, clean up single use postgres databases",https://github.com/coder/coder/pull/2413,2022-06-16T15:22:57Z,2022-06-16T16:01:34Z,2022-06-16T16:01:33Z,2022-06-16T16:01:33Z,spikecurtis,,False,True,2347,main,spike/2347_postgres_flakes,True,4,38,9,4,5,3,0,"First PR for #2347 This fixes up a socket leak in our use of Migrate. It also introduces cleanup of single-use databases in postgres, since the postgres container outlives the test run, if we don't clean up these databases the container will continue to grow in size until it is restarted. Lastly, this extends the timeout for postgres tests to 30 minutes. I'm seeing several minutes on my machine, and we don't want to set this aspirationally---it's a backstop for when things are going really wrong"
2456,closed,test: Write URL after signal listen to fix flake,https://github.com/coder/coder/pull/2456,2022-06-17T13:50:44Z,2022-06-17T14:16:46Z,2022-06-17T14:16:46Z,2022-06-17T14:16:45Z,kylecarbs,,True,False,,main,stopflake,True,2,7,6,2,2,0,0,"The URL could be read before the signal was listening, causing this test to flake: https://github.com/coder/coder/runs/6936820170?check_suite_focus=true"
2484,closed,fix: Fix test flake based on same update time,https://github.com/coder/coder/pull/2484,2022-06-17T20:07:39Z,2022-06-17T20:20:22Z,2022-06-17T20:20:22Z,2022-06-17T20:20:21Z,Emyrk,,True,False,,main,stevenmasley/update_at_flake,True,1,3,0,1,1,0,0,"Would be nice to somehow mock the clock, but in lieu of that, 5ms shouldn't kill us... --- Fail logs on windows: https://github.com/coder/coder/runs/6941697979?check_suite_focus=true ``` 2022-06-17T19:35:15.8288444Z === Failed 2022-06-17T19:35:15.8288771Z === FAIL: coderd TestPatchTemplateMeta/Modified (0.03s) 2022-06-17T19:35:15.8289561Z t.go:81: 2022-06-17 19:32:21.754 [DEBUG] <github.com\coder\coder\coderd\coderd.go:384> debugLogRequest.func1.1 POST /api/v2/users/first 2022-06-17T19:35:15.829"
2730,closed,test: Try again in unit test if user already exists,https://github.com/coder/coder/pull/2730,2022-06-29T17:42:47Z,2022-06-29T19:17:33Z,2022-06-29T19:17:32Z,2022-06-29T19:17:32Z,Emyrk,,False,True,,main,stevenmasley/2709/user_already_exits,True,1,14,0,1,1,0,1,
2732,closed,provisionerd sends failed or complete last,https://github.com/coder/coder/pull/2732,2022-06-29T19:13:21Z,2022-07-01T16:55:47Z,2022-07-01T16:55:46Z,2022-07-01T16:55:46Z,spikecurtis,,False,True,2603,main,spike/provisionerd_cleanup_complete,True,8,1099,805,8,42,57,5,"Substantially narrows the race window on #2603 but doesn't close it. This PR refactors provisionerd to include a job runner that is designed to ensure that we get at most 1 FailedJob or CompletedJob message per job, and that we cease any updates for jobs once this is sent. It uses unexported interfaces to distinguish between methods that can be called by things like the main provisionerd goroutines (things like canceling the current job), and methods internal to the runner. Similarly, we abstrac"
2783,closed,fix pubsub/poll race on provisioner job logs,https://github.com/coder/coder/pull/2783,2022-07-01T18:26:06Z,2022-07-01T21:08:28Z,2022-07-01T21:07:19Z,2022-07-01T21:07:19Z,spikecurtis,,False,True,2603,main,spike/provisioner_job_logs_stream,True,4,320,82,4,10,14,0,Fixes #2603
2855,closed,fix: Disable random workspace filter tests due to flakes,https://github.com/coder/coder/pull/2855,2022-07-08T17:14:51Z,2022-07-08T18:01:01Z,2022-07-08T18:01:01Z,2022-07-08T18:01:00Z,kylecarbs,,True,False,,main,disablefiltertest,True,1,3,0,1,0,0,1,Contributes towards #2854.
